Advisory_ID,Year,Region,State,District,Lat,Lon,Rainfall_IMD_mm,Soil_Moisture_Historical,Mean_Temp_Historical,NDVI_Vegetation_Index,Soil_pH,Soil_Type,Nitrogen,Phosphorus,Potassium,Recommended_Crop,Historical_MSP_INR,Expert_Advisory
ADV_0011,2015,Central_India,Chhattisgarh,Balod,20.75,81.25,971.0,0.227,26.5,0.74,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0,"For optimal yield in Central India (Chhattisgarh) for banana cultivation, I recommend providing supplemental irrigation to ensure a consistent moisture level of 0.3-0.4, considering the high temperature and moderate rainfall in the region. Additionally, to maintain soil health, I suggest incorporating organic amendments like compost or farmyard manure to balance the high NPK levels and maintain a pH between 6.0-7.0, which is ideal for banana cultivation."
ADV_0012,2016,Central_India,Chhattisgarh,Balod,20.75,81.25,1246.1,0.234,26.7,0.83,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0,"Based on the given conditions, I would advise that for optimal yield in Central India (Chhattisgarh) for the banana crop, it is crucial to implement a balanced fertilization schedule that takes into account the high phosphorus and medium nitrogen levels in the soil, while also ensuring adequate potassium supplementation to support fruit growth and development.

Additionally, to maintain soil health in this region, it is recommended to incorporate organic amendments such as compost or farmyard manure to improve soil structure and fertility, particularly in areas with high rainfall like Chhattisgarh, where leaching of nutrients can be a concern."
ADV_0013,2017,Central_India,Chhattisgarh,Balod,20.75,81.25,1211.4,0.239,26.6,0.82,7.6,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0,"For the banana crop in Central India (Chhattisgarh), considering the high rainfall and soil pH of 7.6, it is advisable to implement a drip irrigation system to optimize water usage and prevent waterlogged soil conditions, which can lead to root rot and reduced yields. Additionally, to maintain soil health, it is recommended to incorporate organic amendments such as compost or farmyard manure to balance the high NPK levels and promote beneficial microbial activity in the soil."
ADV_0014,2018,Central_India,Chhattisgarh,Balod,20.75,81.25,1273.2,0.228,26.0,0.84,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0,"Considering the weather and soil conditions in Central India (Chhattisgarh), I recommend that coffee farmers in this region focus on optimizing soil moisture retention and nutrient management to achieve a yield increase of 10-15% through efficient irrigation and balanced fertilization practices.

To maintain soil health, I suggest implementing a cover cropping system to enhance soil organic matter and structure, which will help mitigate the risk of nutrient leaching and erosion, while also promoting a more balanced soil pH and nutrient profile."
ADV_0015,2019,Central_India,Chhattisgarh,Balod,20.75,81.25,1245.5,0.242,26.4,0.84,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0,"For optimal yield in banana cultivation in Central India (Chhattisgarh), I recommend applying a balanced fertilizer with a higher potassium content to promote fruit development, and maintaining a consistent moisture level of around 0.25 to prevent waterlogged conditions that can lead to root rot.

To improve soil health, I suggest incorporating organic amendments such as compost or well-rotted cow dung to maintain the soil pH at 7.0 and enhance the nutrient-holding capacity, while also monitoring the NPK levels to prevent excessive nutrient buildup."
ADV_0016,2020,Central_India,Chhattisgarh,Balod,20.75,81.25,1476.8,0.244,26.0,0.91,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0,"Based on the given conditions, I would advise that the coffee crop in Central India (Chhattisgarh) is likely to benefit from a balanced fertilization strategy, focusing on maintaining optimal NPK levels to ensure a yield of around 2-3 tons per hectare. To improve soil health, I recommend incorporating organic amendments like compost or manure to adjust the pH level to a more suitable range (around 6.0-7.0) and to maintain a stable moisture level, thereby reducing the risk of nutrient leaching."
ADV_0017,2021,Central_India,Chhattisgarh,Balod,20.75,81.25,1127.6,0.235,26.1,0.79,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Jute,4500,"Based on the provided conditions, I recommend that farmers in Central India (Chhattisgarh) focus on optimizing Jute cultivation by maintaining adequate moisture levels through efficient irrigation systems, as the high rainfall in the region may lead to waterlogged soil conditions that can negatively impact yield. Additionally, regular soil testing and application of balanced fertilizers, considering the high phosphorus content in the soil, would be crucial to maintain optimal soil health and ensure a bountiful Jute harvest."
ADV_0018,2022,Central_India,Chhattisgarh,Balod,20.75,81.25,1687.3,0.242,26.1,0.92,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Jute,4750,"Based on the given conditions, I would advise that the jute crop in Central India (Chhattisgarh) is likely to experience optimal growth and yield due to the high rainfall and suitable temperature, resulting in a potential yield increase of 20-25% compared to average yields. To maintain soil health and prevent nutrient depletion, I recommend incorporating organic amendments such as compost or farmyard manure to balance the high phosphorus levels and maintain a stable pH, ensuring a sustainable jute cultivation practice."
ADV_0019,2023,Central_India,Chhattisgarh,Balod,20.75,81.25,1186.7,0.234,26.3,0.81,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0,"Considering the given weather and soil conditions in Central India (Chhattisgarh), I recommend that the coffee crop be optimized for high yields by implementing a balanced fertilization schedule, focusing on maintaining a consistent NPK ratio to support the plant's growth and development.

To ensure long-term soil health and fertility, I advise incorporating organic amendments such as compost or well-rotted manure into the soil to maintain its pH balance at 7.4 and to replenish the nutrient reserves, particularly nitrogen and phosphorus, which are crucial for coffee plant growth."
ADV_0020,2024,Central_India,Chhattisgarh,Balod,20.75,81.25,1240.0,0.252,26.5,0.84,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0,"For the region of Central India (Chhattisgarh), considering the given weather conditions and soil composition, I recommend applying a balanced fertilizer supplement to maintain the soil's NPK levels, aiming for a slightly acidic to neutral pH range (6.5-7.5) to promote optimal banana growth. Additionally, implementing drip irrigation and mulching techniques can help conserve moisture, reduce soil temperature fluctuations, and minimize soil erosion, ultimately leading to a higher banana yield in the region."
ADV_0021,2015,Central_India,Chhattisgarh,Balrampur,27.5,82.25,616.2,0.241,24.6,0.63,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4100,"For optimal cotton yield in Central India's Chhattisgarh region with the given weather conditions and soil characteristics, I recommend applying a balanced fertilizer dose of 120-150 kg N/ha, 60-80 kg P2O5/ha, and 150-180 kg K2O/ha to maintain soil health and support cotton growth. Additionally, maintaining a soil pH of 7.8 and moisture level of 0.241 is suitable for cotton cultivation, but it is essential to monitor soil moisture levels regularly to avoid waterlogging and ensure proper root development."
ADV_0022,2016,Central_India,Chhattisgarh,Balrampur,27.5,82.25,711.9,0.242,25.0,0.66,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4160,"Based on the provided conditions, I would advise that to optimize cotton yield in Central India (Chhattisgarh), it is essential to implement a balanced fertilization strategy, considering the medium/medium/high NPK levels, to promote healthy plant growth and maximize water utilization efficiency. Additionally, maintaining soil pH at 7.7 is suitable for cotton cultivation, but regular soil testing will be necessary to monitor nutrient levels and adjust the fertilization plan accordingly to ensure long-term soil health."
ADV_0023,2017,Central_India,Chhattisgarh,Balrampur,27.5,82.25,622.8,0.242,24.6,0.63,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4320,"For the cotton crop in Central India (Chhattisgarh), I recommend applying a balanced fertilizer dose with a focus on potassium to optimize yield, considering the high NPK levels in the soil. Additionally, to maintain soil health, it is essential to incorporate crop rotation and organic amendments to improve soil structure and fertility, particularly given the slightly alkaline pH of 7.2."
ADV_0024,2018,Central_India,Chhattisgarh,Balrampur,27.5,82.25,740.6,0.236,24.2,0.66,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5450,"Based on the provided data, I recommend that farmers in Central India (Chhattisgarh) focus on optimizing irrigation management to ensure that the cotton crop receives adequate moisture, considering the relatively low moisture level of 0.236, to achieve a yield of around 600-700 kg/ha. Additionally, maintaining a balanced fertilizer application, particularly nitrogen, to match the high phosphorus and potassium levels in the soil, will be crucial to maintaining soil health and preventing potential nutrient deficiencies."
ADV_0025,2019,Central_India,Chhattisgarh,Balrampur,27.5,82.25,1108.8,0.248,24.3,0.79,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Jute,3950,"Based on the given conditions, I would advise that the jute crop in Central India (Chhattisgarh) is likely to experience optimal growth due to the high moisture levels and suitable temperature, resulting in a potential yield increase of up to 20% compared to average yields. To maintain soil health, I recommend incorporating organic amendments such as compost or green manure to balance the high pH (8.0) and address potential nutrient deficiencies, particularly phosphorus, to ensure long-term fertility and sustainability of the soil."
ADV_0026,2020,Central_India,Chhattisgarh,Balrampur,27.5,82.25,1503.0,0.279,23.3,0.94,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Apple,0,"For apple cultivation in Central India (Chhattisgarh), I recommend applying a balanced fertilizer regimen to maintain optimal NPK levels, as the existing soil NPK levels are already medium/high, but also consider incorporating organic amendments to enhance soil health and structure. Additionally, to optimize yield, it is essential to implement proper irrigation management, taking into account the region's 1503.0mm rainfall, to prevent waterlogging and ensure consistent moisture levels."
ADV_0027,2021,Central_India,Chhattisgarh,Balrampur,27.5,82.25,1569.9,0.265,23.9,0.93,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Apple,0,"For optimal yield of apples in Central India (Chhattisgarh) with the given weather conditions, I recommend incorporating a balanced fertilizer regimen that includes a mix of nitrogen, phosphorus, and potassium (NPK) to support fruit development and tree growth, while also considering the existing high potassium levels in the soil.

To maintain soil health and prevent potential potassium toxicity, I suggest incorporating organic amendments such as compost or farmyard manure to improve soil structure, increase water-holding capacity, and promote beneficial microbial activity, thereby mitigating the risks associated with high potassium levels."
ADV_0028,2022,Central_India,Chhattisgarh,Balrampur,27.5,82.25,1151.9,0.262,24.1,0.81,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Jute,4750,"Based on the given conditions, I would advise that to optimize the yield of Jute in Central India (Chhattisgarh), it is crucial to maintain a balanced fertilizer application, particularly focusing on phosphorus to promote root development and resistance to drought, considering the high rainfall and moderate temperature in the region. Additionally, regular soil testing and adjusting the pH to a slightly acidic range (around 6.5-7.0) would be essential to maintain optimal soil health and prevent nutrient deficiencies in the Jute crop."
ADV_0029,2023,Central_India,Chhattisgarh,Balrampur,27.5,82.25,777.7,0.233,24.7,0.68,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,7020,"Based on the given conditions, I would advise the farmer to implement a cover crop rotation to improve soil health and structure, as the pH level of 8.0 and high phosphorus content may indicate a need for phosphorus-fixing crops like legumes to maintain soil fertility.

To optimize cotton yield in Central India, I recommend adjusting the irrigation schedule to account for the 777.7mm rainfall, ensuring that the soil moisture level remains between 0.2-0.25 to prevent waterlogging and promote healthy root growth, which can lead to a potential yield increase of up to 20%."
ADV_0030,2024,Central_India,Chhattisgarh,Balrampur,27.5,82.25,1121.9,0.261,24.5,0.8,8.2,Black & Mixed / Vertisols,Medium,Medium,High,Jute,5335,"For optimal yield of Jute in Central India (Chhattisgarh), I recommend adjusting the fertilizer application to balance the high phosphorus levels in the soil, as excessive phosphorus can lead to nutrient deficiencies in other essential micronutrients. Additionally, incorporating organic amendments such as compost or green manure can help improve soil health by reducing the soil pH to a more favorable range for Jute growth."
ADV_0031,2015,Central_India,Chhattisgarh,Bastar,19.0,82.0,1619.1,0.252,24.7,0.93,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Jute,2700,"For the year 2015, consider applying organic manure to improve soil fertility and structure, as the soil pH is slightly alkaline. This will help in maintaining the optimal pH range for jute cultivation."
ADV_0032,2016,Central_India,Chhattisgarh,Bastar,19.0,82.0,1681.9,0.255,24.8,0.93,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Jute,3200,"For the year 2016, monitor soil moisture levels closely, as the high rainfall may lead to waterlogging, which can negatively impact jute growth. Timely drainage measures can help mitigate this risk."
ADV_0033,2017,Central_India,Chhattisgarh,Bastar,19.0,82.0,1569.0,0.256,24.7,0.93,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Jute,3500,"For the year 2017, focus on maintaining soil pH within the optimal range for jute cultivation, as the soil pH has decreased slightly. This will help in promoting healthy root growth and overall plant development."
ADV_0034,2018,Central_India,Chhattisgarh,Bastar,19.0,82.0,1414.3,0.25,24.2,0.9,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Jute,3700,"For the year 2018, consider using conservation agriculture practices to reduce soil erosion and retain soil moisture. This will help in improving soil health and promoting sustainable jute cultivation."
ADV_0035,2019,Central_India,Chhattisgarh,Bastar,19.0,82.0,2149.1,0.256,24.9,0.93,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Jute,3950,"For the year 2019, take measures to control pests and diseases, as high temperatures and rainfall may lead to an increase in pest and disease pressure. Regular monitoring and timely interventions can help minimize losses."
ADV_0036,2020,Central_India,Chhattisgarh,Bastar,19.0,82.0,1766.8,0.262,24.4,0.93,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Jute,4225,"For the year 2020, consider using precision irrigation techniques to optimize water use and reduce waste. This will help in promoting efficient jute cultivation and minimizing water-related issues."
ADV_0037,2021,Central_India,Chhattisgarh,Bastar,19.0,82.0,1307.8,0.263,24.4,0.87,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Jute,4500,"For the year 2021, focus on improving soil structure and fertility, as the low rainfall may lead to soil degradation. Organic amendments and conservation agriculture practices can help in improving soil health."
ADV_0038,2022,Central_India,Chhattisgarh,Bastar,19.0,82.0,2003.5,0.255,24.4,0.93,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Jute,4750,"For the year 2022, monitor soil temperature and adjust planting dates accordingly, as high temperatures may lead to early maturity and reduced yields. This will help in promoting optimal growth and development of jute plants."
ADV_0039,2023,Central_India,Chhattisgarh,Bastar,19.0,82.0,1642.5,0.25,24.7,0.93,8.2,Black & Mixed / Vertisols,Medium,Medium,High,Jute,5050,"For the year 2023, consider using mulching techniques to retain soil moisture and suppress weeds. This will help in promoting efficient jute cultivation and reducing labor costs."
ADV_0040,2024,Central_India,Chhattisgarh,Bastar,19.0,82.0,1984.5,0.263,25.1,0.93,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Jute,5335,"For the year 2024, focus on improving soil pH and fertility, as the high rainfall may lead to soil acidification. Regular soil testing and amendments can help in maintaining optimal soil conditions for jute cultivation."
ADV_0041,2015,Central_India,Chhattisgarh,Bemetara,21.75,81.5,1168.5,0.228,26.6,0.8,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0,"For the banana crop in Central India (Chhattisgarh), I recommend applying a balanced fertilizer schedule to optimize yield, as the high phosphorus levels in the soil (NPK: Medium/Medium/High) may require adjustments to prevent phosphorus toxicity. Additionally, maintaining a slightly acidic to neutral soil pH (7.0) is suitable for banana cultivation, but periodic soil testing is essential to monitor pH levels and adjust accordingly to ensure optimal soil health."
ADV_0042,2016,Central_India,Chhattisgarh,Bemetara,21.75,81.5,1024.1,0.242,26.8,0.76,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0,"For the banana crop in Central India (Chhattisgarh), I recommend adjusting the fertilizer application to balance the high phosphorus levels with additional potassium to promote fruit growth and prevent nutrient deficiencies. To maintain optimal soil health, consider incorporating organic amendments like compost or farmyard manure to improve the soil's water-holding capacity and structure, which will be beneficial in the region's variable rainfall pattern."
ADV_0043,2017,Central_India,Chhattisgarh,Bemetara,21.75,81.5,905.3,0.241,26.7,0.72,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0,"For optimal yield in Central India, particularly in Chhattisgarh, I recommend incorporating organic amendments such as compost or farmyard manure to enhance soil fertility, considering the medium to high NPK levels and pH of 7.0.

To maintain soil health and prevent nutrient deficiencies, it is crucial to implement a balanced fertilization schedule for the banana crop, taking into account the region's climate and ensuring that the soil moisture level remains within the optimal range of 0.2-0.3 to support healthy root development."
ADV_0044,2018,Central_India,Chhattisgarh,Bemetara,21.75,81.5,1316.1,0.23,26.1,0.85,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Jute,3700,"For optimal yield of Jute in Central India (Chhattisgarh), I recommend applying a balanced fertilizer dose of 120-150 kg N, 60-80 kg P2O5, and 180-200 kg K2O per hectare to address the medium/medium/high NPK levels, while also ensuring proper irrigation management to maintain soil moisture levels around 0.2-0.3.

To maintain soil health and prevent nutrient depletion, I suggest incorporating organic amendments such as farmyard manure or compost at a rate of 10-15 tons per hectare, and adopting conservation agriculture practices like reduced tillage and cover cropping to promote soil biota and structure in the pH 7.5 soil."
ADV_0045,2019,Central_India,Chhattisgarh,Bemetara,21.75,81.5,1347.3,0.244,26.2,0.87,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0,"Given the weather conditions in Central India, I recommend that the coffee crop be optimized for high-yielding varieties that are tolerant to high temperatures and humidity, such as Arabica cultivars like 'Catimor' or 'Sarchimor', which can thrive in the region's climate.

To maintain optimal soil health, I advise incorporating organic amendments like compost or manure to balance the pH level (currently at 8.1) and to adjust the nutrient levels, particularly phosphorus, to avoid excessive leaching and promote healthy root development, thereby enhancing coffee plant growth and productivity."
ADV_0046,2020,Central_India,Chhattisgarh,Bemetara,21.75,81.5,1375.2,0.273,25.4,0.89,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0,"Based on the given conditions, I would advise that to optimize coffee yield in Central India, it is crucial to implement a balanced fertilization strategy that takes into account the high phosphorus levels in the soil, potentially reducing phosphorus application rates to avoid over-fertilization and subsequent environmental impacts.

Additionally, to maintain soil health and prevent nutrient deficiencies, I recommend incorporating organic amendments such as compost or manure to improve soil structure and fertility, while also monitoring and adjusting pH levels to ensure they remain within the optimal range for coffee cultivation (pH 6.0-6.5)."
ADV_0047,2021,Central_India,Chhattisgarh,Bemetara,21.75,81.5,1323.5,0.243,26.0,0.86,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0,"Considering the climate and soil conditions in Central India (Chhattisgarh), I recommend that coffee farmers in this region focus on optimizing soil moisture retention and nutrient management to achieve higher yields, particularly by implementing practices such as mulching and integrated nutrient management to balance the high phosphorus levels in the soil.

To maintain soil health and prevent nutrient deficiencies, I advise coffee farmers to conduct regular soil testing and adjust their fertilization schedule accordingly, taking into account the medium nitrogen and medium phosphorus levels, while also ensuring adequate potassium levels to support healthy plant growth and coffee production."
ADV_0048,2022,Central_India,Chhattisgarh,Bemetara,21.75,81.5,1022.5,0.243,26.2,0.76,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0,"Based on the given conditions, I recommend that for optimal yield, the banana crop in Central India (Chhattisgarh) should be provided with adequate irrigation management to maintain soil moisture levels between 0.2-0.3, considering the high rainfall and warm temperature. Additionally, to maintain soil health, regular application of organic amendments such as compost or farm yard manure, in conjunction with balanced fertilizers, is essential to maintain the soil pH at 7.0 and ensure optimal nutrient availability for the banana crop."
ADV_0049,2023,Central_India,Chhattisgarh,Bemetara,21.75,81.5,1363.4,0.223,26.3,0.87,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0,"Based on the given conditions, I would advise that the coffee crop in Central India (Chhattisgarh) is likely to perform well, with a potential yield increase due to the high rainfall and moderate soil pH of 7.4, which is suitable for coffee cultivation. However, to maintain optimal soil health, I recommend regular monitoring of nutrient levels and implementing a balanced fertilizer management plan to address the high NPK levels, particularly the high phosphorus content, to prevent potential nutrient deficiencies and environmental pollution."
ADV_0050,2024,Central_India,Chhattisgarh,Bemetara,21.75,81.5,1122.1,0.22,26.6,0.78,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0,"For the banana crop in Central India (Chhattisgarh), I recommend applying a balanced fertilizer with a higher potassium content to optimize yield, considering the high NPK levels. Additionally, maintaining soil pH levels between 6.0 and 7.0 and monitoring moisture levels to prevent waterlogging will be crucial for maintaining soil health and preventing nutrient deficiencies."
ADV_0051,2015,Central_India,Chhattisgarh,Bijapur,16.75,75.75,565.3,0.12,26.9,0.55,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Watermelon,0,"For the year 2015, consider planting Watermelon as the recommended crop, given the suitable soil pH and high potassium levels. Ensure proper irrigation to maintain optimal soil moisture."
ADV_0052,2016,Central_India,Chhattisgarh,Bijapur,16.75,75.75,521.9,0.16,26.9,0.55,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Watermelon,0,"For the year 2016, continue with Watermelon as the recommended crop, taking into account the medium nitrogen and phosphorus levels. Monitor soil moisture levels to prevent waterlogging."
ADV_0053,2017,Central_India,Chhattisgarh,Bijapur,16.75,75.75,683.4,0.143,26.5,0.6,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0,"For the year 2017, switch to Banana as the recommended crop, considering the high NDVI vegetation index and suitable soil pH. Implement integrated pest management to control potential diseases."
ADV_0054,2018,Central_India,Chhattisgarh,Bijapur,16.75,75.75,380.0,0.136,26.3,0.49,8.2,Black & Mixed / Vertisols,Medium,Medium,High,Watermelon,0,"For the year 2018, revert to Watermelon as the recommended crop, given the medium nitrogen and phosphorus levels. Apply organic fertilizers to improve soil fertility."
ADV_0055,2019,Central_India,Chhattisgarh,Bijapur,16.75,75.75,506.7,0.175,26.5,0.56,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Watermelon,0,"For the year 2019, continue with Watermelon as the recommended crop, taking into account the high potassium levels and suitable soil pH. Use drip irrigation to conserve water."
ADV_0056,2020,Central_India,Chhattisgarh,Bijapur,16.75,75.75,780.1,0.199,26.3,0.66,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0,"For the year 2020, switch to Banana as the recommended crop, considering the high NDVI vegetation index and suitable soil pH. Implement crop rotation to prevent soil degradation."
ADV_0057,2021,Central_India,Chhattisgarh,Bijapur,16.75,75.75,749.3,0.208,25.8,0.65,7.6,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,6025,"For the year 2021, consider planting Cotton as the recommended crop, given the high rainfall and suitable soil pH. Use integrated pest management to control potential pests."
ADV_0058,2022,Central_India,Chhattisgarh,Bijapur,16.75,75.75,929.3,0.172,26.0,0.7,7.6,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0,"For the year 2022, switch to Banana as the recommended crop, considering the high NDVI vegetation index and suitable soil pH. Apply organic fertilizers to improve soil fertility."
ADV_0059,2023,Central_India,Chhattisgarh,Bijapur,16.75,75.75,352.4,0.11,26.9,0.47,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Mungbean,8558,"For the year 2023, consider planting Mungbean as the recommended crop, given the low rainfall and suitable soil pH. Implement conservation agriculture to reduce soil erosion."
