Year,Region,State,District,Lat,Lon,Rainfall_IMD_mm,Soil_Moisture_Historical,Mean_Temp_Historical,NDVI_Vegetation_Index,Soil_pH,Soil_Type,Nitrogen,Phosphorus,Potassium,Recommended_Crop,Historical_MSP_INR
2021,Central_India,Chhattisgarh,Bemetara,21.75,81.5,1323.5,0.243,26.0,0.86,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2022,Central_India,Chhattisgarh,Bemetara,21.75,81.5,1022.5,0.243,26.2,0.76,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2023,Central_India,Chhattisgarh,Bemetara,21.75,81.5,1363.4,0.223,26.3,0.87,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2024,Central_India,Chhattisgarh,Bemetara,21.75,81.5,1122.1,0.22,26.6,0.78,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2015,Central_India,Chhattisgarh,Bijapur,16.75,75.75,565.3,0.12,26.9,0.55,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Watermelon,0
2016,Central_India,Chhattisgarh,Bijapur,16.75,75.75,521.9,0.16,26.9,0.55,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Watermelon,0
2017,Central_India,Chhattisgarh,Bijapur,16.75,75.75,683.4,0.143,26.5,0.6,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2018,Central_India,Chhattisgarh,Bijapur,16.75,75.75,380.0,0.136,26.3,0.49,8.2,Black & Mixed / Vertisols,Medium,Medium,High,Watermelon,0
2019,Central_India,Chhattisgarh,Bijapur,16.75,75.75,506.7,0.175,26.5,0.56,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Watermelon,0
2020,Central_India,Chhattisgarh,Bijapur,16.75,75.75,780.1,0.199,26.3,0.66,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2021,Central_India,Chhattisgarh,Bijapur,16.75,75.75,749.3,0.208,25.8,0.65,7.6,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,6025
2022,Central_India,Chhattisgarh,Bijapur,16.75,75.75,929.3,0.172,26.0,0.7,7.6,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2023,Central_India,Chhattisgarh,Bijapur,16.75,75.75,352.4,0.11,26.9,0.47,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Mungbean,8558
2024,Central_India,Chhattisgarh,Bijapur,16.75,75.75,749.0,0.223,26.7,0.66,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2015,Central_India,Chhattisgarh,Dantewada,19.0,81.25,1121.6,0.235,26.2,0.79,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2016,Central_India,Chhattisgarh,Dantewada,19.0,81.25,1519.4,0.243,26.2,0.92,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2017,Central_India,Chhattisgarh,Dantewada,19.0,81.25,1344.1,0.237,26.2,0.87,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2018,Central_India,Chhattisgarh,Dantewada,19.0,81.25,1345.0,0.219,25.8,0.86,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2019,Central_India,Chhattisgarh,Dantewada,19.0,81.25,1617.0,0.229,26.4,0.91,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Coconut,0
2020,Central_India,Chhattisgarh,Dantewada,19.0,81.25,1773.7,0.241,25.9,0.92,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2021,Central_India,Chhattisgarh,Dantewada,19.0,81.25,1134.4,0.242,25.9,0.8,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2022,Central_India,Chhattisgarh,Dantewada,19.0,81.25,1610.9,0.237,25.7,0.92,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2023,Central_India,Chhattisgarh,Dantewada,19.0,81.25,1417.7,0.241,26.0,0.89,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2024,Central_India,Chhattisgarh,Dantewada,19.0,81.25,1799.0,0.251,26.5,0.93,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Coconut,0
2015,Central_India,Chhattisgarh,Dhamtari,20.75,81.5,885.7,0.23,26.5,0.71,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2016,Central_India,Chhattisgarh,Dhamtari,20.75,81.5,1152.7,0.236,26.7,0.8,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2017,Central_India,Chhattisgarh,Dhamtari,20.75,81.5,1082.1,0.236,26.7,0.78,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2018,Central_India,Chhattisgarh,Dhamtari,20.75,81.5,1196.2,0.224,26.1,0.81,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Jute,3700
2019,Central_India,Chhattisgarh,Dhamtari,20.75,81.5,1162.0,0.235,26.6,0.8,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2020,Central_India,Chhattisgarh,Dhamtari,20.75,81.5,1447.7,0.244,26.0,0.9,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2021,Central_India,Chhattisgarh,Dhamtari,20.75,81.5,1169.7,0.238,26.2,0.81,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2022,Central_India,Chhattisgarh,Dhamtari,20.75,81.5,1592.2,0.243,26.1,0.92,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Jute,4750
2023,Central_India,Chhattisgarh,Dhamtari,20.75,81.5,1153.7,0.239,26.3,0.8,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2024,Central_India,Chhattisgarh,Dhamtari,20.75,81.5,986.7,0.259,26.4,0.76,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2015,Central_India,Chhattisgarh,Durg,21.25,81.25,949.3,0.232,26.5,0.73,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2016,Central_India,Chhattisgarh,Durg,21.25,81.25,2602.7,0.242,26.7,0.92,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Coconut,0
2017,Central_India,Chhattisgarh,Durg,21.25,81.25,846.3,0.236,26.6,0.7,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2018,Central_India,Chhattisgarh,Durg,21.25,81.25,1259.7,0.234,25.9,0.84,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2019,Central_India,Chhattisgarh,Durg,21.25,81.25,1250.5,0.242,26.3,0.84,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2020,Central_India,Chhattisgarh,Durg,21.25,81.25,1338.0,0.274,25.4,0.88,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2021,Central_India,Chhattisgarh,Durg,21.25,81.25,1334.8,0.242,25.8,0.87,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2022,Central_India,Chhattisgarh,Durg,21.25,81.25,1242.5,0.252,25.8,0.84,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2023,Central_India,Chhattisgarh,Durg,21.25,81.25,1389.3,0.253,25.9,0.89,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2024,Central_India,Chhattisgarh,Durg,21.25,81.25,752.3,0.257,26.3,0.68,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2015,Central_India,Chhattisgarh,Gariaband,20.75,82.0,921.4,0.219,26.1,0.72,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2016,Central_India,Chhattisgarh,Gariaband,20.75,82.0,1060.5,0.227,26.3,0.77,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2017,Central_India,Chhattisgarh,Gariaband,20.75,82.0,864.7,0.224,26.3,0.7,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2018,Central_India,Chhattisgarh,Gariaband,20.75,82.0,1118.0,0.204,25.9,0.77,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2019,Central_India,Chhattisgarh,Gariaband,20.75,82.0,1071.2,0.22,26.3,0.77,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2020,Central_India,Chhattisgarh,Gariaband,20.75,82.0,1252.0,0.231,25.8,0.83,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2021,Central_India,Chhattisgarh,Gariaband,20.75,82.0,1239.2,0.229,25.8,0.83,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2022,Central_India,Chhattisgarh,Gariaband,20.75,82.0,1311.5,0.226,25.8,0.85,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2023,Central_India,Chhattisgarh,Gariaband,20.75,82.0,1166.7,0.231,26.0,0.8,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2024,Central_India,Chhattisgarh,Gariaband,20.75,82.0,1193.9,0.276,26.1,0.84,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Jute,5335
2015,Central_India,Chhattisgarh,Janjgir-Champa,22.0,82.5,943.6,0.214,26.6,0.72,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2016,Central_India,Chhattisgarh,Janjgir-Champa,22.0,82.5,1300.6,0.224,26.9,0.85,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2017,Central_India,Chhattisgarh,Janjgir-Champa,22.0,82.5,1122.1,0.221,26.9,0.78,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2018,Central_India,Chhattisgarh,Janjgir-Champa,22.0,82.5,969.3,0.214,26.2,0.73,8.2,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2019,Central_India,Chhattisgarh,Janjgir-Champa,22.0,82.5,1098.1,0.23,26.4,0.78,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2020,Central_India,Chhattisgarh,Janjgir-Champa,22.0,82.5,1497.2,0.251,25.4,0.92,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2021,Central_India,Chhattisgarh,Janjgir-Champa,22.0,82.5,1323.9,0.229,26.2,0.86,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2022,Central_India,Chhattisgarh,Janjgir-Champa,22.0,82.5,1868.7,0.241,26.1,0.92,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Jute,4750
2023,Central_India,Chhattisgarh,Janjgir-Champa,22.0,82.5,1514.8,0.235,26.4,0.92,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Coconut,0
2024,Central_India,Chhattisgarh,Janjgir-Champa,22.0,82.5,1191.1,0.248,26.5,0.82,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Banana,0
2015,Central_India,Chhattisgarh,Jashpur,23.0,84.25,1907.7,0.264,22.3,0.93,7.6,Black & Mixed / Vertisols,Medium,Medium,High,Rice,1410
2016,Central_India,Chhattisgarh,Jashpur,23.0,84.25,1637.9,0.255,22.6,0.93,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Apple,0
2017,Central_India,Chhattisgarh,Jashpur,23.0,84.25,1298.2,0.235,22.6,0.85,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Apple,0
2018,Central_India,Chhattisgarh,Jashpur,23.0,84.25,1140.4,0.234,21.9,0.8,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Apple,0
2019,Central_India,Chhattisgarh,Jashpur,23.0,84.25,1405.8,0.249,22.1,0.89,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Apple,0
2020,Central_India,Chhattisgarh,Jashpur,23.0,84.25,1208.5,0.273,21.2,0.84,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Apple,0
2021,Central_India,Chhattisgarh,Jashpur,23.0,84.25,1202.7,0.252,21.7,0.83,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Apple,0
2022,Central_India,Chhattisgarh,Jashpur,23.0,84.25,1125.8,0.242,22.0,0.8,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Apple,0
2023,Central_India,Chhattisgarh,Jashpur,23.0,84.25,1142.2,0.23,22.1,0.8,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Apple,0
2024,Central_India,Chhattisgarh,Jashpur,23.0,84.25,1498.9,0.245,22.2,0.92,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Apple,0
2015,Central_India,Chhattisgarh,Kabirdham,22.0,81.25,1052.1,0.25,25.0,0.78,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2016,Central_India,Chhattisgarh,Kabirdham,22.0,81.25,943.3,0.25,25.0,0.74,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4160
2017,Central_India,Chhattisgarh,Kabirdham,22.0,81.25,1114.8,0.25,25.0,0.8,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2018,Central_India,Chhattisgarh,Kabirdham,22.0,81.25,969.9,0.25,25.0,0.75,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5450
2019,Central_India,Chhattisgarh,Kabirdham,22.0,81.25,1147.4,0.25,25.0,0.81,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2020,Central_India,Chhattisgarh,Kabirdham,22.0,81.25,1428.4,0.25,25.0,0.9,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2021,Central_India,Chhattisgarh,Kabirdham,22.0,81.25,1377.1,0.25,25.0,0.88,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2022,Central_India,Chhattisgarh,Kabirdham,22.0,81.25,1132.5,0.25,25.0,0.8,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2023,Central_India,Chhattisgarh,Kabirdham,22.0,81.25,1055.8,0.25,25.0,0.78,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2024,Central_India,Chhattisgarh,Kabirdham,22.0,81.25,842.8,0.25,25.0,0.71,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,7521
2015,Central_India,Chhattisgarh,Kanker,20.25,81.5,1067.2,0.25,25.0,0.78,8.2,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2016,Central_India,Chhattisgarh,Kanker,20.25,81.5,1465.1,0.25,25.0,0.91,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2017,Central_India,Chhattisgarh,Kanker,20.25,81.5,1089.1,0.25,25.0,0.79,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2018,Central_India,Chhattisgarh,Kanker,20.25,81.5,1195.3,0.25,25.0,0.82,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2019,Central_India,Chhattisgarh,Kanker,20.25,81.5,1075.8,0.25,25.0,0.78,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2020,Central_India,Chhattisgarh,Kanker,20.25,81.5,1070.7,0.25,25.0,0.78,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2021,Central_India,Chhattisgarh,Kanker,20.25,81.5,1046.8,0.25,25.0,0.77,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2022,Central_India,Chhattisgarh,Kanker,20.25,81.5,1484.5,0.25,25.0,0.92,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2023,Central_India,Chhattisgarh,Kanker,20.25,81.5,1047.8,0.25,25.0,0.77,8.2,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2024,Central_India,Chhattisgarh,Kanker,20.25,81.5,1372.9,0.25,25.0,0.88,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2015,Central_India,Chhattisgarh,Kondagaon,19.5,81.75,1269.8,0.25,25.0,0.85,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2016,Central_India,Chhattisgarh,Kondagaon,19.5,81.75,1409.3,0.25,25.0,0.89,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2017,Central_India,Chhattisgarh,Kondagaon,19.5,81.75,1351.7,0.25,25.0,0.88,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2018,Central_India,Chhattisgarh,Kondagaon,19.5,81.75,1159.1,0.25,25.0,0.81,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2019,Central_India,Chhattisgarh,Kondagaon,19.5,81.75,1530.8,0.25,25.0,0.93,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2020,Central_India,Chhattisgarh,Kondagaon,19.5,81.75,1578.1,0.25,25.0,0.93,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2021,Central_India,Chhattisgarh,Kondagaon,19.5,81.75,1357.7,0.25,25.0,0.88,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2022,Central_India,Chhattisgarh,Kondagaon,19.5,81.75,1578.0,0.25,25.0,0.93,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2023,Central_India,Chhattisgarh,Kondagaon,19.5,81.75,1257.6,0.25,25.0,0.84,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2024,Central_India,Chhattisgarh,Kondagaon,19.5,81.75,1242.4,0.25,25.0,0.84,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2015,Central_India,Chhattisgarh,Korba,22.25,82.75,961.3,0.25,25.0,0.75,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4100
2016,Central_India,Chhattisgarh,Korba,22.25,82.75,1314.8,0.25,25.0,0.86,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2017,Central_India,Chhattisgarh,Korba,22.25,82.75,1022.0,0.25,25.0,0.77,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4320
2018,Central_India,Chhattisgarh,Korba,22.25,82.75,991.9,0.25,25.0,0.76,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5450
2019,Central_India,Chhattisgarh,Korba,22.25,82.75,1152.5,0.25,25.0,0.81,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2020,Central_India,Chhattisgarh,Korba,22.25,82.75,1590.5,0.25,25.0,0.93,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2021,Central_India,Chhattisgarh,Korba,22.25,82.75,1393.8,0.25,25.0,0.89,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2022,Central_India,Chhattisgarh,Korba,22.25,82.75,1369.1,0.25,25.0,0.88,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2023,Central_India,Chhattisgarh,Korba,22.25,82.75,1262.8,0.25,25.0,0.85,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2024,Central_India,Chhattisgarh,Korba,22.25,82.75,1217.7,0.25,25.0,0.83,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2015,Central_India,Chhattisgarh,Koriya,23.25,82.5,757.0,0.25,25.0,0.68,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4100
2016,Central_India,Chhattisgarh,Koriya,23.25,82.5,909.4,0.25,25.0,0.73,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4160
2017,Central_India,Chhattisgarh,Koriya,23.25,82.5,975.7,0.25,25.0,0.75,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4320
2018,Central_India,Chhattisgarh,Koriya,23.25,82.5,1064.4,0.25,25.0,0.78,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2019,Central_India,Chhattisgarh,Koriya,23.25,82.5,1303.6,0.25,25.0,0.86,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2020,Central_India,Chhattisgarh,Koriya,23.25,82.5,1669.1,0.25,25.0,0.93,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
